fund_code,month,period_start,period_end,n_periods,nav_begin,nav_end,nav_per_unit_begin,nav_per_unit_end,subscriptions,redemptions,net_flow,chg_investment,chg_distribution,period_days,gross_return,reconcile_residual_vnd,market_return,excess_return,deposit_rate_pct,deposit_rate_provenance,asset_class,fund_name,manager_id,gross_subscription_rate,gross_redemption_rate,net_flow_rate,churn_rate,gross_legs_disclosed,flow_asymmetry
SSI-SCA,2024-10,2024-09-26,2024-10-30,5,735806008596.0,738600563692.0,40261.13,39419.95,32879553821.0,-14604992545.0,18274561276.0,-15480006180.0,0.0,30,-0.02089310458996052,0.0,-0.01637350893258338,-0.00451959565737714,4.7,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20241008043404 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.044685084705597684,0.01984897156910686,0.02483611313649083,0.06453405627470454,True,0.38485281369529933
SSI-SCA,2024-11,2024-10-31,2024-11-27,4,738600563692.0,769633406940.0,39419.95,39234.77,48290357607.0,-13965909693.0,34324447914.0,-3291604666.0,0.0,24,-0.004697621382066752,0.0,-0.014860638708671825,0.010163017326605073,4.7,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20241128101714 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.06538088376972498,0.018908609578077513,0.04647227419164746,0.08428949334780249,True,0.5513412448677275
SSI-SCA,2024-12,2024-11-28,2024-12-25,4,769633406940.0,796679211830.0,39234.77,40904.88,30268420824.0,-35652491830.0,-5384071006.0,32429875896.0,0.0,24,0.042567090363980764,0.0,0.014031266893080208,0.028535823470900556,4.7,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20241217044809 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.03932836146542129,0.046323992057142396,-0.006995630591721102,0.08565235352256369,True,-0.08167470365981502
SSI-SCA,2025-01,2024-12-26,2025-01-22,4,796679211830.0,795776756685.0,40904.88,39963.38,37747083832.0,-20509571970.0,17237511862.0,-18139967007.0,0.0,24,-0.02301681364179542,0.0,-0.02684923595230526,0.003832422310509842,4.7,"bridged between observations at 2024-12 and 2025-02, which agree at 4.7%",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.04738053067218063,0.02574382720855587,0.021636703463624753,0.0731243578807365,True,0.29588914132980876
SSI-SCA,2025-02,2025-01-30,2025-02-26,4,814755625411.0,846767622044.0,40712.0,41405.3,46623140290.0,-28982462342.0,17640677948.0,14371318685.0,0.0,24,0.017029377087836695,0.0,0.022161229805463867,-0.005131852717627172,4.7,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20250207105719 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.057223465338433414,0.03557196960423553,0.02165149573419789,0.09279543494266895,True,0.23332500944227114
SSI-SCA,2025-03,2025-02-27,2025-03-26,4,846767622044.0,869213243716.0,41405.3,41029.52,58992209129.0,-28439549279.0,30552659850.0,-8107038178.0,0.0,24,-0.009075649735661995,0.0,0.010286772314079817,-0.019362422049741812,4.7,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20250323005822 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.06966753049272192,0.033586014083002116,0.0360815164097198,0.10325354457572404,True,0.34944578956568756
SSI-SCA,2025-04,2025-03-27,2025-04-30,5,869213243716.0,816920561776.0,41029.52,36792.62,102840781952.0,-64768360122.0,38072421830.0,-90365103770.0,0.0,30,-0.10326467382508964,0.0,-0.08492715659215355,-0.018337517232936085,4.7,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20250404031732 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.11831478948979451,0.07451377506065923,0.04380101442913528,0.19282856455045375,True,0.22715003107163986
SSI-SCA,2025-05,2025-05-01,2025-05-28,4,816920561776.0,894126529105.0,36792.62,39401.76,41240463574.0,-22441489957.0,18798973617.0,58406993712.0,0.0,24,0.07091476497188842,0.0,0.08218526484761313,-0.011270499875724704,4.7,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20250531072021 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.050482832118146824,0.027470834995524898,0.023011997122621926,0.07795366711367173,True,0.2952009568589753
SSI-SCA,2025-06,2025-05-29,2025-06-25,4,894126529105.0,925356320399.0,39401.76,40587.23,22877936988.0,-18774148137.0,4103788851.0,27126002443.0,0.0,24,0.03008672709036353,0.0,0.011392843426878851,0.01869388366348468,4.7,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20250613002901 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.025586912191164136,0.020997193938303665,0.0045897182528604735,0.0465841061294678,True,0.09852541208163586
SSIBF,2021-05,2021-05-11,2021-05-24,2,1770231527591.0,1693906793557.0,12444.27,12474.59,0.0,0.0,-80500508651.0,4175774617.0,0.0,12,0.0024364627254149784,0.0,0.038356818298278084,-0.035920355572863105,,,bond,SSI Bond Fund,ssiam,0.0,0.0,-0.04547456499125187,0.0,True,
SSIBF,2021-07,2021-07-06,2021-07-12,1,1620297798059.0,1588820022323.0,12567.17,12583.0,0.0,0.0,-33474888726.0,1997112990.0,0.0,6,0.0012596312455390724,0.0,-0.04317274263908055,0.044432373884619625,,,bond,SSI Bond Fund,ssiam,0.0,0.0,-0.02065971376749416,0.0,True,
SSIBF,2023-01,2023-01-17,2023-01-30,2,448763939358.0,448861817381.0,13406.58,13429.93,0.0,0.0,-683288024.0,781166047.0,0.0,12,0.0017416820695510538,0.0,0.013121502540683005,-0.011379820471131952,7.4,"bridged between observations at 2022-12 and 2023-02, which agree at 7.4%",bond,SSI Bond Fund,ssiam,0.0,0.0,-0.0015226001112689876,0.0,True,
SSIBF,2023-02,2023-02-07,2023-02-27,3,446700790602.0,446776913584.0,13468.88,13541.94,0.0,0.0,-2336796981.0,2412919963.0,0.0,18,0.005424355996935359,0.0,-0.03319965662064117,0.03862401261757653,7.4,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20230227065357 of https://www.agribank.com.vn/vn/lai-suat",bond,SSI Bond Fund,ssiam,0.0,0.0,-0.005231235382079347,0.0,True,
SSIBF,2023-03,2023-02-28,2023-03-27,4,446776913584.0,448197326370.0,13541.94,13600.59,0.0,0.0,-511491980.0,1931904766.0,0.0,24,0.004330989503719351,0.0,0.019442058562710196,-0.015111069058990845,7.2,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20230327002150 of https://www.agribank.com.vn/vn/lai-suat",bond,SSI Bond Fund,ssiam,0.0,0.0,-0.0011448487252773698,0.0,True,
