manager_id,fund_key,title,published,reason
vinacapital,vff,20260129_VFF_BC_Ky_Ky-so_20260128.xlsx,2026-01-29,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260127_VFF_BC_Ky_Ky-so_20260126.xlsx,2026-01-27,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260122_VFF_BC_Ky_Ky-so_20260121.xlsx,2026-01-22,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260120_VFF_BC_Ky_Ky-so_20260119.xlsx,2026-01-20,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260115_VFF_BC_Ky_Ky-so_20260114-1.xlsx,2026-01-15,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260113_VFF_BC_Ky_Ky-so_20260112-1.xlsx,2026-01-13,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260108_VFF_BC_Ky_Ky-so_20260107-1.xlsx,2026-01-08,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260106_VFF_BC_Ky_Ky-so_20260105-1.xlsx,2026-01-06,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251230_VFF_BC_Ky_Ky-so_20251229.xlsx,2025-12-30,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251225_VFF_BC_Ky_Ky-so_20251224-1.xlsx,2025-12-25,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251223_VFF_BC_Ky_Ky-so_20251222.xlsx,2025-12-23,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251218_VFF_BC_Ky_Ky-so_20251217-1.xlsx,2025-12-18,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251216_VFF_BC_Ky_Ky-so_20251215.xlsx,2025-12-16,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251211_VFF_BC_Ky_Ky-so_20251210.xlsx,2025-12-11,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251209_VFF_BC_Ky_Ky-so_20251208.xlsx,2025-12-09,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251204_VFF_BC_Ky_Ky-so_20251203-1.xlsx,2025-12-04,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251202_VFF_BC_Ky_Ky-so_20251201-1.xlsx,2025-12-02,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251127_VFF_BC_Ky_Ky-so_20251126-1.xlsx,2025-11-27,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251125_VFF_BC_Ky_Ky-so_20251124-1.xlsx,2025-11-25,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251120_VFF_BC_Ky_Ky-so_20251119-1.xlsx,2025-11-20,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251118_VFF_BC_Ky_Ky-so_20251117.xlsx,2025-11-18,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251113_VFF_BC_Ky_Ky-so_20251112-1.xlsx,2025-11-13,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251111_VFF_BC_Ky_Ky-so_20251110-1.xlsx,2025-11-11,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251106_VFF_BC_Ky_Ky-so_20251105.xlsx,2025-11-06,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251104_VFF_BC_Ky_Ky-so_20251103.xlsx,2025-11-04,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251030_VFF_BC_Ky_Ky-so_20251029-1.xlsx,2025-10-30,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251028_VFF_BC_Ky_Ky-so_20251027.xlsx,2025-10-28,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251023_VFF_BC_Ky_Ky-so_20251022-1.xlsx,2025-10-23,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251021_VFF_BC_Ky_Ky-so_20251020-1.xlsx,2025-10-21,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251016_VFF_BC_Ky_Ky-so_20251015-1.xlsx,2025-10-16,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251014_VFF_BC_Ky_Ky-so_20251013-1.xlsx,2025-10-14,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251009_VFF_BC_Ky_Ky-so_20251008.xlsx,2025-10-09,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251007_VFF_BC_Ky_Ky-so_20251006.xlsx,2025-10-07,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20251002_VFF_BC_Ky_Ky-so_20251001-1.xlsx,2025-10-02,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250930_VFF_BC_Ky_Ky-so_20250929.xlsx,2025-09-30,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250925_VFF_BC_Ky_Ky-so_20250924.xlsx,2025-09-25,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250923_VFF_BC_Ky_Ky-so_20250922.xlsx,2025-09-23,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250918_VFF_BC_Ky_Ky-so_20250917.xlsx,2025-09-18,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250916_VFF_BC_Ky_Ky-so_20250915.xlsx,2025-09-16,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250911_VFF_BC_Ky_Ky-so_20250910.xlsx,2025-09-11,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250909_VFF_BC_Ky_Ky-so_20250908.xlsx,2025-09-09,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250904_VFF_BC_Ky_Ky-so_20250903.xlsx,2025-09-04,filename matches neither the weekly nor the daily pattern
